"sample" "type" "feature" "stranded" "mode" "gff" "genes" "nonzero" "no_feature" "ambiguous" "not_unique" "total_reads" "prop_counted" "prop_expr" "prop_ambig" "prop_multimap"
"1" "AF14-1" "exon" "Parent" "yes" "intersection-nonempty" "standard" 40660 4730 32679554 134485 3412645 36538117 0.008523509845896 0.116330545991146 0.0036806768121083 0.0933995859720959
"2" "AF14-1" "exon" "Parent" "reverse" "intersection-nonempty" "standard" 40660 15028 2903725 26018579 3412645 36538117 0.115035156299926 0.369601574028529 0.712094139936111 0.0933995859720959
"3" "AF14-1" "exon" "Parent" "yes" "intersection-nonempty" "WBonly" 23298 11496 32690665 313 3412645 36538117 0.0118915268676818 0.493432912696369 8.56639656608467e-06 0.0933995859720959
"4" "AF14-1" "CDS" "ID" "yes" "intersection-nonempty" "WBonly" 21868 11367 32695547 307 3412645 36538117 0.0117580771882689 0.519800621913298 8.40218449133545e-06 0.0933995859720959
"5" "AF14-1" "exon" "Parent" "no" "intersection-nonempty" "WBonly" 23298 19645 2872009 211876 3412645 36538117 0.822198555004901 0.8432054253584 0.0057987662582612 0.0933995859720959
"6" "AF14-1" "exon" "Parent" "reverse" "intersection-nonempty" "WBexononly" 23298 19221 3116369 150034 3412645 36538117 0.817203278428388 0.825006438320886 0.00410623240382092 0.0933995859720959
"7" "AF14-1" "exon" "Parent" "reverse" "intersection-nonempty" "WBnodouble" 23215 19183 3311924 4985 3412645 36538117 0.815820995920507 0.826319190178764 0.000136432865437483 0.0933995859720959
"8" "AF14-1" "exon" "Parent" "yes" "intersection-nonempty" "WBnodouble" 23215 11481 32691092 14 3412645 36538117 0.0118880236767538 0.494550936894249 3.83161507748196e-07 0.0933995859720959
"9" "AF14-1" "mRNA" "ID" "reverse" "intersection-nonempty" "WBonly" 21868 18972 2905150 271224 3412645 36538117 0.819667253241321 0.867569050667642 0.00742304262696405 0.0933995859720959
"10" "AF14-1" "exon" "Parent" "reverse" "intersection-nonempty" "WBnoalt" 23249 19216 3116054 4985 3412645 36538117 0.821181699100695 0.826530173340789 0.000136432865437483 0.0933995859720959
"11" "AF20-2" "exon" "Parent" "yes" "intersection-nonempty" "WBonly" 23298 11769 63575715 573 5959381 70230817 0.00989804803210534 0.50515065670873 8.15881153710628e-06 0.0848542172021151
"12" "AF20-2" "mRNA" "ID" "yes" "intersection-nonempty" "WBonly" 21868 12519 62771484 10241 5959381 70230817 0.0212116427465168 0.572480336564844 0.000145819177925838 0.0848542172021151
"13" "AF20-2" "exon" "Parent" "yes" "union" "WBonly" 23298 11756 63570198 6161 5959381 70230817 0.00989703707989044 0.504592668898618 8.77250224783801e-05 0.0848542172021151
"14" "AF20-2" "exon" "Parent" "no" "intersection-nonempty" "WBonly" 23298 19212 5469192 256544 5959381 70230817 0.83361838151477 0.824620139067731 0.0036528693664492 0.0848542172021151
"15" "AF20-2" "exon" "Parent" "reverse" "intersection-nonempty" "WBexononly" 23298 18888 5860201 157385 5959381 70230817 0.82946279836101 0.810713365954159 0.00224096780762212 0.0848542172021151
